"Time","143028A","","143028A","",""
"and","10.00","","140.00","",""
"Date","Rainfall (mm)","","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Point","Quality","Comments"
08:00:00 13/01/2017,        0.00,     83,      0.0036,     10, 
09:00:00 13/01/2017,        0.00,     83,      0.0036,     10, 
10:00:00 13/01/2017,        0.00,     83,      0.0036,     10, 
11:00:00 13/01/2017,        0.00,     83,      0.0038,     10, 
12:00:00 13/01/2017,        0.00,     83,      0.0034,     10, 
13:00:00 13/01/2017,        0.00,     83,      0.0034,     10, 
14:00:00 13/01/2017,        0.00,     83,      0.0032,     10, 
15:00:00 13/01/2017,        0.00,     83,      0.0032,     10, 
16:00:00 13/01/2017,        0.00,     83,      0.0030,     10, 
17:00:00 13/01/2017,        0.00,     83,      0.0030,     10, 
18:00:00 13/01/2017,        0.00,     83,      0.0030,     10, 
19:00:00 13/01/2017,        0.00,     83,      0.0030,     10, 
20:00:00 13/01/2017,        0.00,     83,      0.0029,     10, 
21:00:00 13/01/2017,        0.00,     83,      0.0030,     10, 
22:00:00 13/01/2017,        0.00,     83,      0.0030,     10, 
23:00:00 13/01/2017,        0.00,     83,      0.0030,     10, 
00:00:00 14/01/2017,        0.00,     83,      0.0030,     10, 
01:00:00 14/01/2017,        0.00,     83,      0.0030,     10, 
02:00:00 14/01/2017,        0.00,     83,      0.0030,     10, 
02:50:00 14/01/2017,        0.00,     83,"","", 
03:00:00 14/01/2017,        0.00,     83,      0.0030,     10, 
04:00:00 14/01/2017,        0.00,     83,      0.0029,     10, 
05:00:00 14/01/2017,        0.00,     83,      0.0028,     10, 
06:00:00 14/01/2017,        0.00,     83,      0.0028,     10, 
07:00:00 14/01/2017,        0.00,     83,      0.0028,     10, 
08:00:00 14/01/2017,        0.00,     83,      0.0028,     10, 
09:00:00 14/01/2017,        0.00,     83,      0.0028,     10, 
10:00:00 14/01/2017,        0.00,     83,      0.0027,     10, 
11:00:00 14/01/2017,        0.00,     83,      0.0027,     10, 
12:00:00 14/01/2017,        0.00,     83,      0.0027,     10, 
13:00:00 14/01/2017,        0.00,     83,      0.0027,     10, 
13:50:00 14/01/2017,        0.00,     83,"","", 
